ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20230005412,8/1/2023,16:00:00,Sunday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,040,-38.635183,145.731104
T20230005580,7/3/2023,10:00:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.496697,145.239033
T20230006016,12/3/2023,21:39:00,Sunday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,080,-38.496643,145.225569
T20230006082,27/2/2023,15:30:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.412076,145.52715
T20230006470,17/3/2023,20:25:00,Friday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,T intersection,100,-38.478825,145.470149
T20230006607,20/3/2023,16:40:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.440593,145.48363
T20230006875,12/11/2022,11:00:00,Saturday,1,Collision with vehicle,3,Unk.,BASS COAST,T intersection,060,-38.520528,145.373059
T20230008404,10/4/2023,10:05:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.472131,145.474846
T20230008443,10/4/2023,21:58:00,Monday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,080,-38.411318,145.527665
T20230008765,14/4/2023,14:56:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.606911,145.582708
T20230009308,21/4/2023,13:33:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.472278,145.187447
T20230009395,22/4/2023,14:15:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.473201,145.238998
T20230009734,26/4/2023,15:55:00,Wednesday,4,Collision with a fixed object,1,Day,BASS COAST,Not at intersection,100,-38.499119,145.524251
T20230010675,6/5/2023,16:14:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.432772,145.497182
T20230010698,7/5/2023,15:09:00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.454429,145.594554
T20230011480,17/5/2023,6:55:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Y intersection,060,-38.605084,145.60118
T20230011860,21/5/2023,16:43:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,050,-38.51351,145.359727
T20230012422,28/5/2023,3:10:00,Sunday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,T intersection,050,-38.637885,145.72436
T20230012491,29/5/2023,6:57:00,Monday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,060,-38.564112,145.55249
T20230013304,7/6/2023,17:30:00,Wednesday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.540048,145.540598
T20230013431,9/6/2023,15:29:00,Friday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,040,-38.605823,145.593535
T20230013542,10/6/2023,19:45:00,Saturday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,T intersection,100,-38.309356,145.541809
T20230014356,19/1/2023,11:30:00,Thursday,1,Collision with vehicle,3,Unk.,BASS COAST,Cross intersection,999,-38.514661,145.353464
T20230014633,23/6/2023,16:30:00,Friday,4,Collision with a fixed object,3,Unk.,BASS COAST,Not at intersection,080,-38.459189,145.600572
T20230014872,26/6/2023,16:22:00,Monday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.523858,145.415654
T20230014961,6/6/2023,8:00:00,Tuesday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Cross intersection,040,-38.606998,145.593889
T20230015061,28/6/2023,21:35:00,Wednesday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Not at intersection,999,-38.521278,145.396662
T20230015710,7/7/2023,5:45:00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,080,-38.496601,145.160436
T20230016242,16/5/2023,10:10:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.452325,145.238981
T20230016916,20/7/2023,19:18:00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.631167,145.603648
T20230021936,7/3/2023,12:00:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,050,-38.602644,145.592071
