ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20210009948,2/5/2021,14:15:00,Sunday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.413689,145.544346
T20210010205,6/5/2021,5:42:00,Thursday,6,Vehicle overturned (no collision),3,Dark No street lights,BASS COAST,Not at intersection,100,-38.468702,145.627186
T20210010866,14/5/2021,12:10:00,Friday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.509629,145.698245
T20210011434,21/5/2021,9:40:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.605156,145.588387
T20210011880,26/5/2021,12:55:00,Wednesday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,999,-38.52638,145.445021
T20210011897,23/4/2021,18:00:00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.524834,145.724635
T20210012060,28/5/2021,12:33:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.496687,145.257596
T20210012745,9/6/2021,7:05:00,Wednesday,2,Struck Pedestrian,3,Dusk/Dawn,BASS COAST,Not at intersection,060,-38.590695,145.584803
T20210013385,18/6/2021,17:44:00,Friday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,T intersection,060,-38.667593,145.621061
T20210013588,11/6/2021,17:20:00,Friday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,050,-38.452325,145.238981
T20210013678,22/6/2021,15:13:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.625847,145.741119
T20210014089,27/6/2021,13:40:00,Sunday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,050,-38.593035,145.592244
T20210015264,11/7/2021,13:40:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.515645,145.359458
T20210016084,22/7/2021,9:00:00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,T intersection,999,-38.605738,145.58848
T20210016654,1/8/2021,0:02:00,Sunday,6,Vehicle overturned (no collision),3,Dark No street lights,BASS COAST,Not at intersection,100,-38.500821,145.466838
T20210016773,2/8/2021,14:00:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,080,-38.419141,145.463699
T20210017209,9/8/2021,10:20:00,Monday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.63618,145.710587
T20210017880,28/6/2021,14:40:00,Monday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,100,-38.508115,145.45058
T20210018003,22/8/2021,18:38:00,Sunday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,060,-38.450285,145.238979
T20210018218,26/8/2021,23:39:00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,100,-38.496601,145.160436
T20210018346,29/8/2021,16:25:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,060,-38.452325,145.220171
T20210018717,5/9/2021,17:00:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,060,-38.612974,145.593961
T20210019018,11/9/2021,6:45:00,Saturday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.358255,145.561233
T20210019053,12/9/2021,8:15:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,080,-38.404582,145.532778
T20210019073,12/9/2021,13:15:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,050,-38.594775,145.600547
T20210019282,16/9/2021,5:30:00,Thursday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.563607,145.548373
T20210019526,20/9/2021,10:50:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.487744,145.263171
T20210020723,13/10/2021,8:15:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.606317,145.588583
T20210021372,22/10/2021,18:30:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.482092,145.252794
T20210021996,1/11/2021,14:56:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.472201,145.474807
T20210022166,25/10/2021,20:38:00,Monday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Not at intersection,060,-38.593438,145.59056
T20210023235,17/11/2021,6:30:00,Wednesday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.419545,145.550365
T20210023587,21/11/2021,14:32:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.562967,145.714048
T20210023657,22/11/2021,13:15:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Cross intersection,100,-38.50014,145.461947
T20210023770,19/11/2021,15:15:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,060,-38.524174,145.37231
T20210024019,26/11/2021,13:15:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,080,-38.463637,145.229712
T20210024059,26/11/2021,19:25:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.472278,145.187447
T20210024109,27/11/2021,10:20:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.500197,145.46192
T20210024971,7/12/2021,0:10:00,Tuesday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,050,-38.452325,145.238981
T20210025316,10/12/2021,18:00:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.563716,145.543329
T20210025818,16/12/2021,16:45:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.561071,145.499728
T20210026637,26/12/2021,12:13:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.486637,145.647245
T20220000070,1/1/2022,22:10:00,Saturday,6,Vehicle overturned (no collision),2,Dark No street lights,BASS COAST,T intersection,100,-38.627784,145.808653
T20220000092,2/1/2022,10:40:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,060,-38.511894,145.299391
T20220000150,3/1/2022,12:42:00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,060,-38.636766,145.711779
T20220000157,3/1/2022,14:11:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.51633,145.438357
T20220000421,7/1/2022,14:22:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.466621,145.175325
T20220000475,8/1/2022,21:52:00,Saturday,8,No collision and no object struck,3,Dark No street lights,BASS COAST,Not at intersection,080,-38.517949,145.321853
T20220000638,1/12/2021,0:01:00,Wednesday,6,Vehicle overturned (no collision),2,Dark Street lights on,BASS COAST,Not at intersection,080,-38.463614,145.208452
T20220001396,23/1/2022,4:35:00,Sunday,4,Collision with a fixed object,2,Dark Street lights on,BASS COAST,Not at intersection,060,-38.514663,145.354086
T20220001449,23/1/2022,21:46:00,Sunday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,T intersection,100,-38.353289,145.649056
T20220001867,28/1/2022,21:00:00,Friday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Not at intersection,070,-38.587599,145.579275
